Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback,Age Group
C7X4,10.0,Burberry,Accessories,Worst,4,54,Minimalist,"M, L, XL",M,Red,Very Low,26,Cosmopolitan,Olivia Palermo,Fall/Winter,Holiday,Mixed,Unknown,Mixed,Young
Q3P5,30.8,Ted Baker,Accessories,Very Bad,5,96,Bohemian,"S, M, L",XL,Black,Negligible,27,Harper's Bazaar,Camila Coelho,Fall/Winter,Nighttime,Mixed,Positive,Other,Young
N0C7,20.4,Burberry,Accessories,Very Good,2,449,Glamorous,"S, M, L",S,Red,Average,63,Vogue,Negin Mirsalehi,Summer,Daytime,Mixed,Other,Other,Senior
Q2H7,55.5,Ted Baker,Accessories,Good,2,268,Sporty,"S, M, L",M,Green,Average,58,W,Aimee Song,Fall/Winter,Daytime,Negative,Other,Other,Senior
D4R2,60.0,Burberry,Dresses,Best,3,253,Preppy,"S, M, L",S,Black,Negligible,64,Elle,Olivia Palermo,Spring/Summer,Daytime,Negative,Mixed,Neutral,Senior
U5D1,40.9,Alexander McQueen,Accessories,Very Bad,4,298,Formal,"S, M, L",L,Green,Low,29,Fashionista,Kendall Jenner,Fall,Holiday,Unknown,Positive,Positive,Young
R5N3,95.3,Mulberry,Accessories,Not Good,5,334,Minimalist,"S, M, L",M,Green,Low,51,Marie Claire,Olivia Palermo,Summer,Daytime,Neutral,Other,Neutral,Senior
T4O2,1.3,Jigsaw,Accessories,Good,5,28,Minimalist,"M, L, XL",M,Blue,High,36,Marie Claire,Olivia Palermo,Winter,Evening,Unknown,Mixed,Mixed,Middle-aged
R8J5,60.7,Ted Baker,Accessories,Good,5,8,Bohemian,"S, L, XL",M,Red,Very High,28,Harper's Bazaar,Song of Style,Spring,Daytime,Unknown,Neutral,Unknown,Young
R8V8,44.4,Tommy Hilfiger,Swimwear,Very Bad,2,369,Streetwear,"S, M, L",XL,Red,Very High,55,Cosmopolitan,Negin Mirsalehi,Fall/Winter,Weekend,Negative,Negative,Positive,Senior
S8H7,64.6,Alexander McQueen,Bottoms,Very Good,2,480,Vintage,"S, M, L",M,Red,Average,46,Grazia,Kendall Jenner,Spring/Summer,Holiday,Unknown,Unknown,Negative,Middle-aged
Z3S1,10.3,Tommy Hilfiger,Jewelry,Bad,2,333,Casual,"S, M, L",L,Black,Negligible,60,Harper's Bazaar,Kendall Jenner,Fall/Winter,Evening,Mixed,Other,Positive,Senior
N8B0,8.6,Tommy Hilfiger,Swimwear,Best,2,20,Bohemian,"M, L, XL",XL,Black,Above Average,34,Grazia,Leandra Medine,Fall,Weekend,Unknown,Positive,Neutral,Middle-aged
I8L2,52.5,Calvin Klein,Bottoms,Very Good,5,198,Bohemian,"M, L, XL",M,Green,Low,60,Cosmopolitan,Aimee Song,Spring,Weekend,Positive,Neutral,Mixed,Senior
O2W4,50.3,Jigsaw,Tops,Not Good,1,1,Glamorous,"S, M, L",S,Blue,Medium,19,Glamour,Song of Style,Fall,Daytime,Mixed,Neutral,Neutral,Young
B7H6,80.1,Mulberry,Accessories,Good,3,79,Bohemian,"M, L, XL",XL,Black,Low,42,Glamour,Chiara Ferragni,Summer,Nighttime,Unknown,Positive,Unknown,Middle-aged
P2S2,60.6,Mulberry,Tops,Worst,2,102,Minimalist,"M, L, XL",XL,Blue,Below Average,38,Grazia,Chiara Ferragni,Spring,Holiday,Mixed,Negative,Other,Middle-aged
W5X8,16.3,Tommy Hilfiger,Accessories,Best,2,423,Preppy,"S, L, XL",XL,Blue,Below Average,58,Harper's Bazaar,Negin Mirsalehi,Fall/Winter,Daytime,Neutral,Neutral,Neutral,Senior
G9Q3,41.3,Ralph Lauren,Tops,Very Bad,2,73,Streetwear,"S, M, L",L,Red,Average,61,Elle,Gigi Hadid,Summer,Daytime,Neutral,Other,Positive,Senior
T0D0,20.8,Tommy Hilfiger,Dresses,Not Good,4,462,Casual,"S, L, XL",XL,Green,Negligible,21,Cosmopolitan,Kendall Jenner,Fall/Winter,Nighttime,Neutral,Mixed,Unknown,Young
Z7O8,96.1,Ralph Lauren,Jewelry,Not Good,1,17,Casual,"S, M, L",L,Blue,Average,41,Grazia,Aimee Song,Fall,Evening,Unknown,Unknown,Other,Middle-aged
F3C7,78.1,Ted Baker,Lingerie,Good,3,279,Casual,"S, M, L",S,Black,Low,22,Harper's Bazaar,Gigi Hadid,Winter,Evening,Unknown,Unknown,Negative,Young
K7A3,25.5,Burberry,Lingerie,Best,2,175,Streetwear,"S, M, L",L,Red,Average,43,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Negative,Negative,Other,Middle-aged
K9Y9,73.8,Ralph Lauren,Outerwear,Worst,3,418,Glamorous,"M, L, XL",XL,Blue,Medium,30,Fashionista,Gigi Hadid,Spring/Summer,Weekend,Positive,Mixed,Mixed,Middle-aged
R8U6,37.1,Ted Baker,Footwear,Not Good,2,196,Vintage,"S, M, L",L,Red,High,30,Vogue,Camila Coelho,Fall/Winter,Weekend,Negative,Unknown,Unknown,Middle-aged
B6B8,97.5,Burberry,Footwear,Bad,2,294,Formal,"S, L, XL",XL,Blue,Above Average,32,Marie Claire,Olivia Palermo,Spring,Nighttime,Mixed,Negative,Mixed,Middle-aged
N5K2,11.5,Mulberry,Activewear,Very Bad,4,383,Edgy,"M, L, XL",XL,Blue,Negligible,40,Elle,Negin Mirsalehi,Summer,Weekend,Neutral,Unknown,Other,Middle-aged
K2N8,20.2,Jigsaw,Tops,Worst,5,155,Minimalist,"S, M, L",XL,Blue,Significant,33,Fashionista,Chiara Ferragni,Fall,Evening,Positive,Mixed,Mixed,Middle-aged
W3I5,76.0,Tommy Hilfiger,Outerwear,Bad,4,490,Casual,"M, L, XL",M,Green,Above Average,55,W,Gigi Hadid,Summer,Weekend,Neutral,Positive,Unknown,Senior
Q9J5,54.8,Tommy Hilfiger,Activewear,Good,3,244,Formal,"S, L, XL",S,Green,Above Average,40,Grazia,Gigi Hadid,Spring/Summer,Daytime,Neutral,Unknown,Neutral,Middle-aged
M7D8,9.2,Burberry,Lingerie,Good,3,9,Glamorous,"S, M, L",L,Green,Medium,57,Fashionista,Leandra Medine,Spring,Nighttime,Mixed,Other,Other,Senior
V7M1,61.8,Burberry,Dresses,Very Good,1,336,Minimalist,"S, M, L",M,Green,Average,53,Glamour,Aimee Song,Winter,Evening,Neutral,Positive,Other,Senior
H5V2,63.4,Tommy Hilfiger,Outerwear,Bad,1,490,Streetwear,"S, L, XL",S,Green,Low,21,Grazia,Aimee Song,Summer,Nighttime,Neutral,Neutral,Other,Young
B5R6,70.6,Mulberry,Dresses,Very Bad,5,220,Vintage,"M, L, XL",XL,Red,Medium,49,Marie Claire,Aimee Song,Winter,Weekend,Unknown,Neutral,Other,Middle-aged
P8I6,34.3,Mulberry,Bottoms,Not Good,1,33,Minimalist,"S, M, L",M,Green,High,61,Harper's Bazaar,Gigi Hadid,Spring/Summer,Weekend,Positive,Other,Other,Senior
J2F6,64.7,Ralph Lauren,Activewear,Very Bad,4,393,Vintage,"S, M, L",L,Black,Above Average,28,Vogue,Song of Style,Fall/Winter,Holiday,Neutral,Positive,Other,Young
R3T2,5.9,Calvin Klein,Lingerie,Good,4,199,Minimalist,"M, L, XL",S,Green,Above Average,43,Elle,Julie Sariñana,Winter,Evening,Unknown,Unknown,Negative,Middle-aged
N6X1,2.4,Calvin Klein,Swimwear,Very Good,2,385,Edgy,"S, M, L",L,Blue,High,32,InStyle,Julie Sariñana,Winter,Daytime,Mixed,Unknown,Other,Middle-aged
V8P4,71.5,Burberry,Outerwear,Very Bad,2,375,Casual,"S, L, XL",M,Red,Very Low,49,W,Leandra Medine,Spring,Daytime,Positive,Positive,Mixed,Middle-aged
Q1Z4,15.3,Ralph Lauren,Outerwear,Bad,4,292,Minimalist,"S, L, XL",M,Blue,High,29,Fashionista,Negin Mirsalehi,Winter,Daytime,Neutral,Other,Other,Young
H8E1,31.9,Mulberry,Footwear,Good,2,349,Vintage,"S, L, XL",XL,Black,Above Average,27,W,Olivia Palermo,Winter,Daytime,Neutral,Positive,Other,Young
X6E5,14.4,Jigsaw,Lingerie,Very Bad,2,448,Bohemian,"M, L, XL",L,Black,Negligible,18,Marie Claire,Camila Coelho,Summer,Evening,Negative,Negative,Positive,Young
N7R2,23.4,Alexander McQueen,Dresses,Bad,3,79,Vintage,"S, M, L",S,Green,Very Low,34,Grazia,Negin Mirsalehi,Fall,Evening,Negative,Neutral,Mixed,Middle-aged
G3T6,72.2,Jigsaw,Dresses,Very Bad,2,378,Formal,"S, M, L",XL,Blue,High,28,Marie Claire,Julie Sariñana,Summer,Weekend,Positive,Mixed,Negative,Young
Y1E2,55.8,Burberry,Dresses,Bad,4,363,Glamorous,"S, L, XL",S,Red,Negligible,41,Cosmopolitan,Song of Style,Fall/Winter,Weekend,Neutral,Neutral,Mixed,Middle-aged
R9H3,93.9,Calvin Klein,Lingerie,Bad,2,28,Preppy,"S, M, L",S,Green,Very High,55,Grazia,Gigi Hadid,Fall/Winter,Weekend,Positive,Other,Mixed,Senior
P1G7,67.7,Calvin Klein,Lingerie,Very Bad,2,267,Sporty,"S, L, XL",M,Red,Below Average,45,Cosmopolitan,Julie Sariñana,Spring/Summer,Holiday,Positive,Neutral,Positive,Middle-aged
M0P8,69.9,Jigsaw,Bottoms,Very Good,1,313,Vintage,"S, L, XL",XL,Green,Low,39,Glamour,Negin Mirsalehi,Fall/Winter,Nighttime,Negative,Unknown,Negative,Middle-aged
R1F9,6.2,Burberry,Accessories,Worst,3,440,Casual,"S, M, L",S,Green,Below Average,55,Marie Claire,Chiara Ferragni,Winter,Nighttime,Negative,Unknown,Negative,Senior
B1S9,84.5,Alexander McQueen,Dresses,Very Bad,1,342,Vintage,"M, L, XL",M,Red,Very Low,28,Fashionista,Camila Coelho,Spring/Summer,Weekend,Positive,Negative,Other,Young
Y5J4,51.9,Alexander McQueen,Activewear,Best,2,376,Streetwear,"S, M, L",S,Red,Significant,47,Elle,Song of Style,Spring/Summer,Evening,Positive,Positive,Other,Middle-aged
J6D6,3.6,Ralph Lauren,Dresses,Worst,4,406,Preppy,"S, M, L",XL,Black,Negligible,33,Glamour,Olivia Palermo,Winter,Nighttime,Positive,Positive,Positive,Middle-aged
P4P9,91.6,Tommy Hilfiger,Bottoms,Good,2,166,Sporty,"M, L, XL",L,Green,Very Low,60,Vogue,Chiara Ferragni,Fall,Holiday,Negative,Neutral,Other,Senior
I8F0,84.6,Ted Baker,Activewear,Good,3,444,Preppy,"S, M, L",S,Red,Very High,61,Grazia,Camila Coelho,Summer,Nighttime,Negative,Mixed,Positive,Senior
U6N5,82.4,Tommy Hilfiger,Bottoms,Good,2,19,Bohemian,"S, M, L",L,Green,Below Average,30,Elle,Julie Sariñana,Fall,Evening,Negative,Unknown,Positive,Middle-aged
V6E4,57.5,Jigsaw,Outerwear,Good,4,209,Preppy,"M, L, XL",L,Blue,Significant,31,Fashionista,Olivia Palermo,Fall/Winter,Weekend,Positive,Other,Positive,Middle-aged
P5M0,73.5,Calvin Klein,Lingerie,Very Bad,4,146,Vintage,"S, L, XL",M,Black,Very Low,35,Fashionista,Aimee Song,Winter,Weekend,Neutral,Mixed,Positive,Middle-aged
V2K4,82.7,Calvin Klein,Footwear,Very Bad,4,459,Edgy,"S, M, L",S,Black,Low,27,Fashionista,Aimee Song,Spring,Holiday,Positive,Positive,Other,Young
G7K7,7.3,Ted Baker,Swimwear,Worst,3,333,Vintage,"S, L, XL",S,Blue,High,53,Grazia,Olivia Palermo,Winter,Holiday,Negative,Negative,Other,Senior
N0K2,22.0,Jigsaw,Activewear,Bad,4,300,Edgy,"S, L, XL",L,Blue,Very High,46,Cosmopolitan,Gigi Hadid,Winter,Evening,Negative,Other,Unknown,Middle-aged
Y1H4,66.4,Ted Baker,Jewelry,Worst,2,365,Preppy,"S, M, L",M,Green,Very Low,22,Grazia,Song of Style,Spring,Daytime,Mixed,Other,Positive,Young
H4E1,84.5,Ralph Lauren,Footwear,Good,4,165,Vintage,"M, L, XL",M,Green,Negligible,37,Harper's Bazaar,Leandra Medine,Fall,Weekend,Positive,Unknown,Negative,Middle-aged
H5I6,35.2,Alexander McQueen,Bottoms,Very Good,3,453,Streetwear,"S, L, XL",S,Black,Below Average,21,Harper's Bazaar,Leandra Medine,Fall/Winter,Holiday,Neutral,Other,Other,Young
D1D8,22.4,Tommy Hilfiger,Accessories,Bad,4,96,Edgy,"S, L, XL",M,Red,Negligible,57,Cosmopolitan,Negin Mirsalehi,Spring,Weekend,Unknown,Neutral,Mixed,Senior
K0E6,87.4,Tommy Hilfiger,Activewear,Bad,4,189,Sporty,"M, L, XL",S,Green,Low,29,W,Chiara Ferragni,Spring/Summer,Nighttime,Positive,Positive,Other,Young
X5B7,95.4,Calvin Klein,Lingerie,Very Good,3,310,Streetwear,"S, M, L",XL,Green,Very High,59,Grazia,Song of Style,Fall/Winter,Holiday,Positive,Positive,Mixed,Senior
J9R8,99.9,Tommy Hilfiger,Footwear,Very Good,5,31,Minimalist,"M, L, XL",M,Green,Significant,51,Fashionista,Gigi Hadid,Winter,Weekend,Neutral,Other,Neutral,Senior
C6E7,67.8,Burberry,Footwear,Worst,2,451,Vintage,"S, L, XL",XL,Blue,Below Average,55,Elle,Camila Coelho,Winter,Nighttime,Mixed,Mixed,Mixed,Senior
I7O9,59.9,Calvin Klein,Lingerie,Very Bad,3,257,Preppy,"S, L, XL",XL,Green,Below Average,62,Marie Claire,Aimee Song,Spring/Summer,Evening,Neutral,Neutral,Positive,Senior
E9X5,83.9,Ted Baker,Bottoms,Bad,4,3,Formal,"S, M, L",XL,Green,High,40,W,Gigi Hadid,Summer,Holiday,Positive,Mixed,Positive,Middle-aged
F7Z2,48.1,Alexander McQueen,Tops,Best,3,424,Streetwear,"S, L, XL",S,Green,Low,18,Grazia,Gigi Hadid,Spring,Daytime,Mixed,Neutral,Positive,Young
X4Z6,27.2,Ted Baker,Activewear,Good,1,63,Preppy,"M, L, XL",XL,Green,Negligible,26,Grazia,Negin Mirsalehi,Fall,Nighttime,Mixed,Positive,Positive,Young
R9T6,84.2,Mulberry,Jewelry,Worst,2,98,Preppy,"M, L, XL",M,Blue,Average,37,Grazia,Kendall Jenner,Spring/Summer,Weekend,Mixed,Negative,Positive,Middle-aged
R4Z5,24.8,Mulberry,Bottoms,Very Good,4,373,Sporty,"M, L, XL",S,Green,Above Average,38,Elle,Leandra Medine,Summer,Weekend,Mixed,Unknown,Unknown,Middle-aged
Z7P4,55.0,Ralph Lauren,Bottoms,Bad,2,383,Vintage,"M, L, XL",M,Green,Significant,36,Elle,Julie Sariñana,Winter,Holiday,Mixed,Positive,Negative,Middle-aged
S3R7,90.3,Alexander McQueen,Outerwear,Not Good,3,345,Casual,"S, M, L",S,Blue,Very High,39,Grazia,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Neutral,Neutral,Middle-aged
H2Q8,64.0,Jigsaw,Activewear,Good,3,245,Sporty,"S, M, L",S,Black,High,62,InStyle,Chiara Ferragni,Fall/Winter,Evening,Mixed,Unknown,Other,Senior
R0W6,16.9,Ralph Lauren,Footwear,Worst,2,0,Streetwear,"S, M, L",XL,Black,Average,29,Glamour,Leandra Medine,Summer,Evening,Neutral,Other,Positive,Young
V7H6,79.4,Ralph Lauren,Dresses,Best,3,217,Vintage,"M, L, XL",S,Green,Very High,29,Harper's Bazaar,Song of Style,Winter,Nighttime,Mixed,Positive,Other,Young
U3E2,80.5,Calvin Klein,Dresses,Bad,3,111,Preppy,"S, M, L",L,Red,Very High,50,Glamour,Julie Sariñana,Fall/Winter,Daytime,Negative,Neutral,Positive,Senior
F5E2,31.0,Ted Baker,Activewear,Very Bad,1,25,Casual,"S, M, L",S,Green,Medium,38,Fashionista,Kendall Jenner,Fall/Winter,Nighttime,Unknown,Other,Neutral,Middle-aged
H6K7,16.6,Calvin Klein,Dresses,Not Good,1,245,Preppy,"M, L, XL",L,Red,Very High,59,W,Camila Coelho,Summer,Evening,Neutral,Negative,Neutral,Senior
P3I3,38.2,Mulberry,Tops,Worst,2,288,Vintage,"M, L, XL",M,Black,High,42,Fashionista,Olivia Palermo,Winter,Daytime,Unknown,Mixed,Mixed,Middle-aged
R4B4,88.0,Jigsaw,Lingerie,Best,4,311,Formal,"S, M, L",S,Red,Low,32,Marie Claire,Camila Coelho,Summer,Evening,Negative,Neutral,Neutral,Middle-aged
C6T0,91.2,Mulberry,Dresses,Worst,3,242,Preppy,"M, L, XL",M,Black,Above Average,60,Glamour,Aimee Song,Winter,Evening,Neutral,Mixed,Unknown,Senior
I9S2,28.8,Calvin Klein,Tops,Very Bad,5,213,Bohemian,"S, M, L",M,Red,Significant,25,Cosmopolitan,Negin Mirsalehi,Winter,Daytime,Negative,Neutral,Neutral,Young
G3T5,43.2,Tommy Hilfiger,Tops,Bad,2,464,Streetwear,"S, M, L",XL,Black,Below Average,50,Cosmopolitan,Camila Coelho,Fall,Weekend,Negative,Neutral,Neutral,Senior
Q7D9,28.4,Ted Baker,Tops,Not Good,3,280,Streetwear,"S, L, XL",M,Green,Very Low,48,Grazia,Kendall Jenner,Spring/Summer,Evening,Neutral,Neutral,Positive,Middle-aged
D9Y5,48.3,Ralph Lauren,Lingerie,Worst,5,403,Bohemian,"M, L, XL",M,Green,High,32,Vogue,Negin Mirsalehi,Winter,Holiday,Unknown,Unknown,Negative,Middle-aged
F4P1,10.8,Burberry,Activewear,Worst,1,238,Sporty,"M, L, XL",XL,Green,Above Average,49,Glamour,Julie Sariñana,Spring/Summer,Evening,Neutral,Neutral,Negative,Middle-aged
G1O2,84.3,Mulberry,Activewear,Good,1,8,Casual,"S, L, XL",XL,Blue,Low,41,Fashionista,Chiara Ferragni,Fall/Winter,Holiday,Mixed,Unknown,Positive,Middle-aged
U4A3,78.4,Alexander McQueen,Outerwear,Best,3,62,Casual,"M, L, XL",L,Green,Average,58,Glamour,Negin Mirsalehi,Winter,Holiday,Mixed,Positive,Other,Senior
T6D8,26.1,Burberry,Dresses,Very Good,3,403,Preppy,"S, L, XL",S,Green,Medium,41,Grazia,Song of Style,Fall,Evening,Positive,Neutral,Mixed,Middle-aged
Z6V1,27.8,Calvin Klein,Jewelry,Not Good,4,151,Formal,"S, L, XL",XL,Blue,Low,20,Grazia,Gigi Hadid,Fall/Winter,Evening,Negative,Mixed,Unknown,Young
Z6Z3,80.4,Mulberry,Accessories,Worst,5,266,Preppy,"M, L, XL",M,Green,High,34,InStyle,Aimee Song,Spring,Nighttime,Unknown,Negative,Other,Middle-aged
F2K2,51.8,Ralph Lauren,Swimwear,Very Bad,2,414,Sporty,"S, L, XL",S,Red,Below Average,28,Harper's Bazaar,Gigi Hadid,Spring,Daytime,Negative,Neutral,Positive,Young
P2F2,79.7,Mulberry,Footwear,Bad,3,57,Casual,"S, L, XL",S,Blue,Average,54,W,Leandra Medine,Spring/Summer,Holiday,Mixed,Positive,Unknown,Senior
O7G1,36.5,Ted Baker,Activewear,Good,4,46,Streetwear,"S, L, XL",S,Green,Low,45,Harper's Bazaar,Gigi Hadid,Fall/Winter,Daytime,Neutral,Unknown,Unknown,Middle-aged
H6V9,74.4,Alexander McQueen,Accessories,Bad,4,426,Casual,"S, M, L",M,Blue,Average,25,Cosmopolitan,Kendall Jenner,Spring/Summer,Weekend,Positive,Unknown,Unknown,Young
Z9V4,58.9,Tommy Hilfiger,Footwear,Very Good,2,383,Glamorous,"M, L, XL",L,Green,Average,45,Elle,Olivia Palermo,Summer,Holiday,Mixed,Positive,Other,Middle-aged
W3T3,90.7,Ralph Lauren,Bottoms,Worst,4,350,Glamorous,"S, M, L",M,Red,Very Low,19,Fashionista,Camila Coelho,Winter,Holiday,Neutral,Positive,Negative,Young
M7V1,6.5,Ralph Lauren,Dresses,Not Good,3,301,Formal,"M, L, XL",XL,Blue,Above Average,20,Elle,Song of Style,Fall,Nighttime,Mixed,Negative,Neutral,Young
J1M6,52.9,Alexander McQueen,Accessories,Very Bad,3,425,Edgy,"S, L, XL",S,Red,Medium,23,InStyle,Song of Style,Winter,Nighttime,Neutral,Mixed,Neutral,Young
R9Y7,92.5,Alexander McQueen,Footwear,Not Good,3,116,Casual,"S, L, XL",L,Red,Average,49,Glamour,Aimee Song,Winter,Nighttime,Positive,Positive,Other,Middle-aged
U2J2,51.3,Alexander McQueen,Accessories,Not Good,2,217,Casual,"S, L, XL",M,Black,Above Average,63,Elle,Negin Mirsalehi,Spring/Summer,Weekend,Positive,Negative,Other,Senior
F1W3,30.8,Tommy Hilfiger,Dresses,Best,3,398,Glamorous,"S, L, XL",L,Black,Negligible,55,Cosmopolitan,Kendall Jenner,Summer,Evening,Neutral,Negative,Positive,Senior
Y6T8,56.4,Alexander McQueen,Accessories,Best,2,250,Edgy,"M, L, XL",M,Black,Average,50,Elle,Gigi Hadid,Spring,Holiday,Unknown,Mixed,Other,Senior
I4Q2,17.3,Calvin Klein,Outerwear,Good,3,419,Minimalist,"S, L, XL",L,Red,High,43,Vogue,Gigi Hadid,Spring/Summer,Holiday,Unknown,Mixed,Unknown,Middle-aged
T8A7,0.7,Alexander McQueen,Activewear,Best,3,497,Sporty,"S, L, XL",S,Blue,Low,57,Fashionista,Kendall Jenner,Fall,Nighttime,Negative,Positive,Other,Senior
K9A6,29.6,Ralph Lauren,Activewear,Good,3,487,Sporty,"S, M, L",S,Blue,Very Low,32,Cosmopolitan,Song of Style,Fall,Weekend,Neutral,Neutral,Positive,Middle-aged
F4V3,47.6,Ralph Lauren,Footwear,Bad,4,5,Glamorous,"M, L, XL",L,Black,Very High,25,Glamour,Song of Style,Winter,Holiday,Unknown,Unknown,Neutral,Young
W4G1,12.8,Ralph Lauren,Bottoms,Bad,1,292,Bohemian,"M, L, XL",L,Green,Medium,45,Glamour,Julie Sariñana,Spring,Holiday,Mixed,Mixed,Unknown,Middle-aged
F3Z6,31.1,Alexander McQueen,Outerwear,Best,1,4,Edgy,"M, L, XL",S,Green,High,55,Harper's Bazaar,Olivia Palermo,Spring,Evening,Mixed,Negative,Other,Senior
Q5I5,42.0,Tommy Hilfiger,Tops,Best,4,404,Minimalist,"M, L, XL",L,Blue,Very High,33,Grazia,Kendall Jenner,Spring,Evening,Unknown,Unknown,Neutral,Middle-aged
M8D3,48.8,Mulberry,Bottoms,Not Good,2,151,Sporty,"S, M, L",S,Green,Very High,55,Glamour,Olivia Palermo,Fall,Holiday,Unknown,Unknown,Mixed,Senior
J9T2,70.3,Burberry,Tops,Bad,3,197,Casual,"M, L, XL",S,Black,Below Average,35,Fashionista,Kendall Jenner,Winter,Evening,Negative,Unknown,Mixed,Middle-aged
Z7U4,96.8,Ralph Lauren,Activewear,Not Good,4,243,Formal,"S, L, XL",S,Green,Very High,22,Grazia,Negin Mirsalehi,Spring/Summer,Evening,Negative,Other,Neutral,Young
Q0M2,82.3,Alexander McQueen,Swimwear,Bad,2,275,Formal,"M, L, XL",M,Blue,Very High,52,Cosmopolitan,Song of Style,Winter,Nighttime,Neutral,Mixed,Mixed,Senior
